DATE,SITE,HAB_TYPE,MAX_DEPTH_FT,MAX_DEPTH_M,LAT,LONG,AGLO_COUNT,ICRA_COUNT,TRANSECT_AREA,AGLO_PRES,ICRA_PRES,TRANSECTS_SURVEYED,SURVEY_AREA,AGLO_DEN,ICRA_DEN
2/7/2025,TUT-210,AGR,39,11.89,-14.301899,-170.679903,1,10,60,1,1,2,120,0.008333333,0.083333333
2/7/2025,TUT-211,AGR,45,13.72,-14.360358,-170.748776,3,1,60,1,1,2,120,0.025,0.008333333
2/7/2025,TUT-212,AGR,51,15.54,-14.338095,-170.793296,1,40,60,1,1,3,180,0.005555556,0.222222222
2/7/2025,TUT-213,AGR,33,10.06,-14.329327,-170.83181,2,106,60,1,1,2,120,0.016666667,0.883333333
2/8/2025,TUT-125,AGR,33,10.06,-14.349654,-170.788046,3,22,60,1,1,3,180,0.016666667,0.122222222
2/8/2025,TUT-138,AGR,58,17.68,-14.336215,-170.802999,0,0,60,0,0,3,180,0,0
2/8/2025,TUT-143,AGR,22,6.71,-14.365158,-170.761604,2,37,60,1,1,3,180,0.011111111,0.205555556
2/8/2025,TUT-168,AGR,31,9.45,-14.360877,-170.781335,2,215,60,1,1,3,180,0.011111111,1.194444444
2/8/2025,TUT-169,AGR,51,15.54,-14.330384,-170.812348,0,59,60,1,1,3,180,0,0.327777778
2/10/2025,TUT-062,ROB,56,17.07,-14.312694,-170.835819,3,0,60,1,0,3,180,0.016666667,0
2/10/2025,TUT-069,AGR,55,16.76,-14.291243,-170.792502,1,0,60,1,0,3,180,0.005555556,0
2/10/2025,TUT-102,AGR,47,14.32,-14.334349,-170.700307,1,0,60,1,0,3,180,0.005555556,0
2/10/2025,TUT-201,SAG,40,12.19,-14.297134,-170.811783,4,0,60,1,1,3,180,0.022222222,0
2/10/2025,TUT-202,AGR,40,12.19,-14.289603,-170.759634,1,0,60,1,1,3,180,0.005555556,0
2/11/2025,TUT-035,ROB,43,13.11,-14.256289,-170.605873,1,0,60,1,0,3,180,0.005555556,0
2/11/2025,TUT-041,AGR,42,12.8,-14.25037,-170.690159,1,0,60,1,0,3,180,0.005555556,0
2/11/2025,TUT-046,AGR,37,11.28,-14.260084,-170.704549,0,0,60,0,0,3,180,0,0
2/11/2025,TUT-053,AGR,50,15.24,-14.248415,-170.659327,6,0,60,1,0,3,180,0.033333333,0
2/11/2025,TUT-115,AGR,57,17.37,-14.273272,-170.570134,0,9,60,1,1,3,180,0,0.05
2/11/2025,TUT-203,AGR,36,10.97,-14.283693,-170.72293,1,0,60,1,0,3,180,0.005555556,0
2/12/2025,TUT-023,AGR,38,11.58,-14.255458,-170.623423,0,0,60,1,0,3,180,0,0
2/12/2025,TUT-052,ROB,35,10.67,-14.257004,-170.587948,0,1,60,1,1,3,180,0,0.005555556
2/12/2025,TUT-076,AGR,38,11.58,-14.283504,-170.631611,0,11,60,1,1,3,180,0,0.061111111
2/12/2025,TUT-109,AGR,41,12.5,-14.284747,-170.600404,0,607,60,1,1,3,180,0,3.372222222
2/12/2025,TUT-120,AGR,39,11.89,-14.293418,-170.65432,0,7,60,1,1,3,180,0,0.038888889
2/12/2025,TUT-204,AGR,32,9.75,-14.29099,-170.560818,3,5,60,1,1,3,180,0.016666667,0.027777778
2/13/2025,TUT-082,AGR,36,10.97,-14.273839,-170.6078,0,0,60,1,0,3,180,0,0
2/13/2025,TUT-095,AGR,42,12.8,-14.276917,-170.625248,0,4,60,0,1,3,180,0,0.022222222
2/13/2025,TUT-103,AGR,39,11.89,-14.292398,-170.675569,2,0,60,1,0,3,180,0.011111111,0
2/13/2025,TUT-104,AGR,41,12.5,-14.316648,-170.65397,4,0,60,1,1,3,180,0.022222222,0
2/13/2025,TUT-113,AGR,56,17.07,-14.323617,-170.67021,6,0,60,1,1,3,180,0.033333333,0
2/13/2025,TUT-205,AGR,48,14.63,-14.320028,-170.695249,2,0,60,1,0,3,180,0.011111111,0
2/14/2025,TUT-074,AGR,37,11.28,-14.360978,-170.736214,7,2,60,1,1,3,180,0.038888889,0.011111111
2/14/2025,TUT-091,AGR,40,12.19,-14.278903,-170.586065,1,54,60,1,1,3,180,0.005555556,0.3
2/14/2025,TUT-093,AGR,40,12.19,-14.337165,-170.711077,8,18,60,1,1,3,180,0.044444444,0.1
2/14/2025,TUT-206,AGR,49,14.93,-14.316944,-170.69317,3,0,60,1,0,3,180,0.016666667,0
2/14/2025,TUT-207,AGR,35,10.67,-14.303783,-170.683308,2,8,60,1,1,3,180,0.011111111,0.044444444
2/14/2025,TUT-208,AGR,47,14.32,-14.348332,-170.725342,3,1,60,1,1,3,180,0.016666667,0.005555556
3/12/2025,TUT-214,AGR,47,14.3256,-14.28309,-170.607,4,498,60,1,1,3,180,0.022222222,2.766666667
3/12/2025,TUT-215,AGR,44,13.4112,-14.243735,-170.669372,11,5,60,1,1,3,180,0.061111111,0.027777778
3/13/2025,TUT-066,AGR,46,14.0208,-14.2873,-170.739,6,0,60,1,1,3,180,0.033333333,0
3/13/2025,TUT-171,AGR,48,14.6304,-14.332425,-170.824373,2,207,60,1,1,3,180,0.011111111,1.15
3/14/2025,TUT-061,AGR,46,14.0208,-14.318564,-170.842093,6,0,60,1,1,3,180,0.033333333,0
3/14/2025,TUT-216,AGR,46,14.0208,-14.329052,-170.831801,11,89,60,1,1,3,180,0.061111111,0.494444444
3/15/2025,TUT-083,AGR,47,14.3256,-14.332102,-170.697197,3,0,60,1,0,3,180,0.016666667,0
3/15/2025,TUT-126,AGR,45,13.716,-14.336157,-170.796416,0,89,60,1,1,3,180,0,0.494444444
3/15/2025,TUT-139,AGR,39,11.8872,-14.352648,-170.787165,4,56,60,1,1,3,180,0.022222222,0.311111111
3/17/2025,TUT-025,AGR,53,16.1544,-14.251678,-170.698016,4,0,60,1,0,3,180,0.022222222,0
3/17/2025,TUT-030,AGR,39,11.8872,-14.237546,-170.673024,6,0,60,1,0,3,180,0.033333333,0
3/17/2025,TUT-058,AGR,47,14.3256,-14.276028,-170.724169,2,0,60,1,0,3,180,0.011111111,0
3/17/2025,TUT-060,AGR,46,14.0208,-14.264012,-170.713218,1,0,60,1,0,3,180,0.005555556,0
3/18/2025,TUT-086,AGR,51,15.5448,-14.27703,-170.611737,3,4,60,1,1,3,180,0.016666667,0.022222222
3/18/2025,TUT-157,AGR,51,15.5448,-14.274192,-170.619785,0,19,60,1,1,3,180,0,0.105555556
3/18/2025,TUT-219,AGR,46,14.0208,-14.28823,-170.639848,3,16,60,1,1,3,180,0.016666667,0.088888889
3/18/2025,TUT-220,AGR,42,12.8016,-14.300247,-170.681886,2,13,60,1,1,3,180,0.011111111,0.072222222
3/19/2025,TUT-221,AGR,45,13.716,-14.362476,-170.746348,7,0,60,1,0,3,180,0.038888889,0
3/19/2025,TUT-222,AGR,50,15.24,-14.363787,-170.772574,1,412,60,1,1,3,180,0.005555556,2.288888889
3/19/2025,TUT-223,AGR,41,12.4968,-14.35909,-170.785248,4,274,60,1,1,3,180,0.022222222,1.522222222
3/21/2025,TUT-098,RRB,53,16.1544,-14.314128,-170.652116,0,3,60,1,1,3,180,0,0.016666667
3/22/2025,TUT-026,AGR,51,15.5448,-14.250576,-170.6405,0,0,60,1,0,3,180,0,0
3/22/2025,TUT-077,PAV,57,17.3736,-14.304935,-170.596438,0,0,60,0,0,3,180,0,0
3/22/2025,TUT-144,SAG,42,12.8016,-14.24708,-170.581465,13,0,60,1,0,3,180,0.072222222,0
3/22/2025,TUT-224,AGR,57,17.3736,-14.249692,-170.630235,7,0,60,1,0,3,180,0.038888889,0
